ad_id,CTR,CPC,ROAS,spend,impressions,campagne,datum
120241276952780070,1.6074,0.5958,,465.35,48589,NL-BE | Andromeda Testing,2026-05-25
120237733130220070,1.6458,0.6816,,461.41,41134,NL-BE | Andromeda Broad Scaling,2026-05-25
120235465518390070,1.6463,0.7069,,365.47,31404,NL-BE | Andromeda Broad Scaling,2026-05-25
120235465518380070,2.1122,0.5000,,335.03,31721,NL-BE | Andromeda Broad Scaling,2026-05-25
120242472413640070,1.7521,0.6314,,332.73,30078,NL-BE | Zombie,2026-05-25
120236227638600070,1.8004,0.5955,,244.17,22773,NL-BE | Andromeda Broad Scaling,2026-05-25
120235465518350070,1.7394,0.5564,,211.45,21847,NL-BE | Andromeda Broad Scaling,2026-05-25
120236854080680070,1.7502,0.5468,,197.39,20626,NL-BE | Andromeda Broad Scaling,2026-05-25
120236227638590070,2.7419,0.4346,,193.83,16266,NL-BE | Andromeda Broad Scaling,2026-05-25
120239719308070070,0.0522,1.6500,,193.05,224201,ALL | Brand Awareness,2026-05-25
120239720732130070,0.0456,2.6529,,191.01,157931,ALL | Brand Awareness,2026-05-25
120242094300240070,1.7182,0.5923,,182.44,17926,NL-BE | Andromeda Broad Scaling,2026-05-25
120237733130210070,1.9565,0.5287,,143.28,13851,NL-BE | Andromeda Broad Scaling,2026-05-25
120235465518340070,2.0489,0.4981,,141.97,13910,NL-BE | Andromeda Broad Scaling,2026-05-25
120241483295140070,1.7383,0.6353,,135.95,12311,NL-BE | Andromeda Testing,2026-05-25
120239720447810070,0.0798,1.0800,,130.68,151617,ALL | Brand Awareness,2026-05-25
120241483295110070,1.5821,0.9746,,109.15,7079,NL-BE | Andromeda Testing,2026-05-25
120241276952800070,1.5235,0.6001,,99.62,10896,NL-BE | Andromeda Testing,2026-05-25
120241483295150070,1.6730,0.5595,,93.43,9982,NL-BE | Andromeda Testing,2026-05-25
120239874422650070,2.5395,0.5557,,92.81,6576,NL-BE | Andromeda Broad Scaling,2026-05-25
